#;vocabulary-kanji;vocabulary-kana;vocabulary-romaji;Type;translation
512;静か;しずか;shizuka;な-adjective;quiet
513;食堂;しょくどう;shokudou;Noun;cafeteria, dining room
514;醬油;しょうゆ;shouyu;Noun;soy sauce
515;宿題;しゅくだい;shukudai;Noun;homework, assignment, pending issue
516;そば;empty;soba;Noun;near, beside
517;そっち;empty;socchi;Pronoun;that way, ​over there
518;そちら;empty;sochira;Pronoun;that way (distant from speaker, close to listener), you, your family
519;そこ;empty;soko;Pronoun;that place​, there
520;その;empty;sono;Pre-noun adjectival;that
521;空;そら;sora;Noun;sky, the air
522;それ;empty;sore;Pronoun;that
523;それでは;dewa;sore dewa;Expression;in that situation
524;外;そと;soto;Noun;outside, exterior,
525;掃除;そうじ;souji;Noun, Suru verb;to clean, to sweep
526;直ぐに;niすぐに;sugu ni;Adverb;immediately, right away, instantly​
527;水曜日;すいようび;suiyoubi;Noun;Wednesday
528;スカート;empty;sukaato;Noun;skirt
529;好き;すき;suki;Noun, な-adjective;like
530;少し;すこし;sukoshi;Noun, Adverb;a little (bit), small quantity, few, short distance
531;少ない;すくない;sukunai;い-adjective;few, a little, scarce, insufficient, seldom
532;住む;すむ;sumu;Godan verb (intransitive);to live in, to reside, to inhabit, to dwell, to abide
533;スポーツ;empty;supootsu;Noun;sport, sports
534;スプーン;empty;supuun;Noun;spoon
535;スリッパ;empty;surippa;Noun;slipper, slippers
536;ストーブ;empty;sutoobu;Noun;heater, stove
537;吸う;すう;suu;Godan verb (transitive);to smoke, to suck
538;座る;すわる;suwaru;Godan verb (intransitive);to sit
539;涼しい;すずしい;suzushii;い-adjective;refreshing, cool
540;たばこ;empty;tabako;Noun;tobacco, cigarette
541;食べ物;たべもの;tabemono;Noun;food
542;食べる;たべる;taberu;Ichidan verb (intransitive);to eat
543;多分;たぶん;tabun;な-adjective, Adverb;perhaps, probably
544;大変;たいへん;taihen;Noun, な-adjective, Adverb;very, greatly, terribly, serious, difficult
545;大切;たいせつ;taisetsu;Noun, な-adjective;important, necessary, indispensable, beloved
546;大使館;たいしかん;taishikan;Noun;embassy
547;高い;たかい;takai;い-adjective;high, tall, expensive, above average
548;沢山;たくさん;takusan;Noun, Adverbial Noun, な-adjective;many
549;タクシー;empty;takushii;Noun;taxi
550;卵;たまご;tamago;Noun;eggs, egg
551;誕生日;たんじょうび;tanjoubi;Noun;birthday
552;頼む;たのむ;tanomu;Godan verb (transitive);to ask
553;楽しい;たのしい;tanoshii;い-adjective;enjoyable, fun
554;縦;たて;tate;Noun;length,height
555;建物;たてもの;tatemono;Noun;building
556;立つ;たつ;tatsu;Godan verb (intransitive);to stand, to stand up​
557;手;て;te;Noun;hand, arm
558;テーブル;empty;teeburu;Noun;table
559;テープ;empty;teepu;Noun;tape
560;テープレコーダー;rekoodaa;teepu rekoodaa;Noun;tape recorder
561;手紙;てがみ;tegami;Noun;Letter (message)​
562;天気;てんき;tenki;Noun;weather, the elements
563;テレビ;empty;terebi;Noun;television, TV​
564;テスト;empty;tesuto;Noun, Suru verb;examination, quiz, test
565;戸;と;to;Noun;Japanese style door
566;飛ぶ;とぶ;tobu;Godan verb (intransitive);to fly, to hop
567;トイレ;empty;toire;Noun;toilet
568;時計;とけい;tokei;Noun;watch, clock, timepiece
569;時;とき;toki;Noun;time, moment, occasion, chance
570;時々;ときどき;tokidoki;Noun, Adverb;sometimes, at times
571;所;ところ;tokoro;Noun, Suffix;place
572;止まる;とまる;tomaru;Godan verb (intransitive);to stop, to come to a halt
573;友達;ともだち;tomodachi;Noun;friend, companion
574;隣;となり;tonari;Noun;next door to
575;遠い;とおい;tooi;い-adjective;far
576;十日;とおか;tooka;Noun;tenth day of the month / 10 days
577;鳥;とり;tori;Noun;bird
578;鶏肉;とりにく;toriniku;Noun;chicken meat
579;取る;とる;toru;Godan verb (transitive);to take, to pick up, to harvest, to earn, to win, to choose
580;撮る;とる;toru;Godan verb (transitive);to take a photo or record a film
581;年;とし;toshi;Noun;year, age
582;図書館;としょかん;toshokan;Noun;library
583;次;つぎ;tsugi;Noun;next
584;一日;ついたち;tsuitachi;Noun;first day of the month
585;疲れる;つかれる;tsukareru;Ichidan verb (intransitive);to get tired
586;使う;つかう;tsukau;Godan verb (transitive);to use
587;つける;empty;tsukeru;Ichidan verb (transitiv);to turn on
588;付ける;つける;tsukeru;Ichidan verb (transitiv);to attach, affix, add, apply
589;着く;つく;tsuku;Godan verb (intransitive);to arrive at
590;机;つくえ;tsukue;Noun;desk
591;作る;つくる;tsukuru;Godan verb (transitive);to make
592;詰まらない;つまらない;tsumaranai;い-adjective;boring
593;冷たい;つめたい;tsumetai;い-adjective;cold to the touch
594;勤める;つとめる;tsutomeru;Ichidan verb (transitiv);to work for someone
595;強い;つよい;tsuyoi;い-adjective;powerful
596;上;うえ;ue;Noun, Suffix;above, up, over, top, surface
597;生まれる;うまれる;umareru;Ichidan verb (intransitive);to be born
598;海;うみ;umi;Noun;sea
599;売る;うる;uru;Godan verb (transitive);to sell
600;煩い;うるさい;urusai;い-adjective;noisy, annoying
601;後ろ;うしろ;ushiro;Noun;back, behind, rear
602;薄い;うすい;usui;い-adjective;thin, weak
603;歌;うた;uta;Noun;song
604;歌う;うたう;utau;Godan verb (intransitive), Transitive verb;to sing
605;上着;うわぎ;uwagi;Noun;coat, tunic, jacket, outer garment
606;ワイシャツ;shatsu;wai shatsu;Noun, Wasei;shirt
607;若い;わかい;wakai;い-adjective;young
608;分かる;わかる;wakaru;Godan verb (intransitive);to understand, to comprehend, to grasp, to see, to get, to follow
609;悪い;わるい;warui;い-adjective;bad, poor, undesirable
610;忘れる;わすれる;wasureru;Ichidan verb (transitiv);to forget
611;渡る;わたる;wataru;Godan verb (intransitive);to go across
612;私;わたし;watashi;Pronoun;I, myself
613;渡す;わたす;watasu;Godan verb (transitive);to hand over
614;山;やま;yama;Noun;mountain, hill
615;八百屋;やおや;yaoya;Noun;greengrocer, fruit and vegetable shop, versatile
616;やる;empty;yaru;Godan verb (transitive);to do
617;野菜;やさい;yasai;Noun;vegetable
618;易しい;やさしい;yasashii;い-adjective;easy, simple
619;安い;やすい;yasui;い-adjective;cheap, inexpensive
620;休み;やすみ;yasumi;Noun;rest, vacation, holiday
621;休む;やすむ;yasumu;Godan verb (intransitive);to be absent, to take a day off, to rest
622;八つ;やっつ;yattsu;Noun, Numeric;eight: 8
623;呼ぶ;よぶ;yobu;Godan verb (transitive);to call out, to invite
624;良い;/iiよい/いい;yoi/ii;い-adjective;good
625;四日;よっか;yokka;Noun;fourth day of the month / 4 days
626;横;よこ;yoko;Noun;beside,side,width
627;よく;empty;yoku;Adverb;often, well
628;読む;よむ;yomu;Godan verb (transitive);to read, to guess, to predict, to read (someone's thoughts)
629;夜;よる;yoru;Noun;evening, night
630;四つ;よつ;yotsu;Noun, Numeric;four, 4
631;洋服;ようふく;youfuku;Noun;western clothes
632;八日;ようか;youka;Noun;eighth day of the month / 8 days
633;弱い;よわい;yowai;い-adjective;weak
634;雪;ゆき;yuki;Noun;snow
635;ゆっくり;empty;yukkuri;Adverb;slowly
636;昨夜;ゆうべ;yuube;Noun;last night
637;郵便局;ゆうびんきょく;yuubinkyoku;Noun;post office
638;夕方;ゆうがた;yuugata;Noun;evening, dusk
639;夕飯;ゆうはん;yuuhan;Noun;evening meal
640;有名;ゆうめい;yuumei;Noun, な-adjective;famous
641;雑誌;ざっし;zasshi;Noun;magazine
642;全部;ぜんぶ;zenbu;Noun, Adverbial Noun;all
643;ゼロ;empty;zero;Noun;zero
644;ズボン;empty;zubon;Noun;trousers, pants
